lemmatized,sentiment
конечно вернуться быи не только зарплатаа вообще жизнь моряк совсем другаять большой тридцать год отморячилва двадцать запрыгнуть на палуба и в пятьдесят семь сойти не по желаниюдва раз ловить малярия в и второй африка мамапервый в тема гана и второй хард хорда нигериягоспиталья домойприехалпустота что делать на берегун и пойти береговой жизньработать до сей пора в охранезарплата не очень жизнь вообще отпадработа домза десять год отпуск нетденьга не заработатьпока ходить я береговой говорить мол что ты в этот море видешь оказываться пока ходить и отдыхать как человек и бабка былия в море всё нормально былода надо и поработать но заход никто не отменялд и вообще работа моряк это настоящий мужской работада и впечетленийвоспоминание массадый сей пора параход заходыприходыпорт снятсяй не только видеоа и запахичувствуюэти подход к рейд раненько утром где нибыть в африкан или латинский америкубразилия мы часто бегать в итажай кура возить на ближний востоква монт видео тоже часто бывалипусан кальмар возить с фонклендовда куда только не заносилоразва работать на берег можно быть всё это увидеть африка бегать по речка порт варя хархордкокопока бежать по речка что только не насмотреться этот домик на свая и местный жизнь который совсем не измениться год за стоа новый гвинея папуаприслать один причал деревянный на пирог конец мы завелирыба выгружалиа вокруг джунглинебольшать нефтибаза а охранник в набедренный повязка с лукамия ещё где то в джунгли костёр гореть дым столбомбарабан гремятый там далее о сей пора человеченка балуютсян и где такой увидешьещ как не в моряхно увы всё закончилось жальстареть на лирика потянуть,negative
местный голубиопасный вид,neutral
такой чижик мочь много накакать,neutral
pasajes spain бискайский залив,neutral
класной место пасахес,neutral
если время позволять обязательно посетить сансебастьян там облденный вид на город с смотровой площадка,neutral
кеп и чиф на борт зачем вахтёный штурман на стоянка другой дело если сам синячать и возложить ответственность за безопасный стоянка большой не на кто,positive
роман а вы кто работать что такой бред писать,negative
мифодия истребитель морской биологический водный ресурс по совместительство председатель судовой администрация,neutral
я как то сидеть в каюта вааащеий в щиия такой поднять стопарить давать говорить шмякнуть всё молчать смотреть на левый а там кэп сидеть смотреть на я и такой что напиться я он товарищ капитан быть кэп хороший даже не ругаться да и на переход всегда пить всё знать неправильно но это давно быть сейчас пить не не,positive
кан время поменяться мы в машина мочь тоже стопари поднимать а сейчас не не,neutral
вячеслав пить особенно в море это смерть синька зло поэтому только хороший не пить а не изз времна,negative
кан ну если так то да питьэтый зло выпить в мера так это всегда можно,negative
я просто алкаш поэтому прохавал весь прелесть алкоголь поэтому теперь я монах святой невинный и чистый от алкашка пить даже в мера очень плохо нет тот доза отрава который безопасный это вс врань,positive
кан ну тогда ясно хорошо что понять вовремя да у мы продукт плохой спиртное мало что натуральный,positive
а я считать но это лично моемнение всё должный быть в мера,neutral
я полагать автор рапорт с переведна в пассажир до убытие домой,neutral
с до старпом на вахта за что бакс,neutral
а на хороший рейс попасть так как бордель вещь не дешвать там и бакс не деньга мало тот при себя иметь с судовой касса достаточный сумма чтобы напиться и провести ночь с дама и при это хотеть откупиться доллар хитрожопие у товарищ зашкаливать конечно если так и быть в чм сомневаться,positive
занести на поворот,neutral
смещение пта,neutral
нет они красавчик заблаговременно за день,positive
где человек кок весь съесть,neutral
серхиннио в пирожок и салат,neutral
что за блюдо там,neutral
хороший размер,positive
сергей super longstroke,neutral
админ по круг фотка гонять который год в обед держать,neutral
главное чтобы вс работать,neutral
сегодня быть барбекю кабанчик доставить,neutral
на два язык больший буква,neutral
папа звонить в мко,neutral
папа звонить мама,neutral
виктор мама говорить возвращаться скорее,neutral
когда механик подняться на мостик,neutral
когда повар выходить с камбуз,neutral
а где у штурман есть власть,neutral
ни фигасидеть поддовалить на рейдемастер с дед поспориличтый капитан не смочь завести главныйзавелдед ящик коньяк проспорить,neutral
и когда да в рефку,neutral
какой у вы последний обновление psc прийти и ограничить ай клауд,neutral
сма самогонный аппарат,neutral
ха не везде фамилия андрей закрыть,neutral
один история офигительный другой,positive
сука и тут щукин отличилсяинтересный есть такой кто он не знать и не слышать о такой,neutral
рапорт наш третий помощник,positive
да история конечно супер,neutral
качество шик,positive
hfo колбаска,neutral
безумно тяжлый труд здоровье мужикамбережать спина и поясница,neutral
год через всравный сказаться,neutral
андрей любой труд сказываться на здоровье человек но тут знать просто год быть трюмнымочень тяжко в трюм уклыдывать рыбпродукциюй при выгрузка также это выгружать и так весь рейс,neutral
роман я в курс я рыбмастер,neutral
андрей я тоже знать работать в трюмепо этот и написать свой коммент,neutral
что за рифер,neutral
помнить с удовольствие идти в трюм на погрузка на рифер от машина отдохнуть да и деньга неплохой платить,positive
да помнить этот тихий ужас человек в трюм тонна за час,negative
василий в цифра нет ошибочка тонна выгрузить за часович человек,negative
роман ошибка нет у литовец в трюм тележка под строп на рельс строп в трюм на телега опустить толкнуть в нужный направление и раскидать человек в трюм потому что как правило подходить два рифер с два борт весь точка,neutral
василий тогда получаться человек большой в каждый трюм человек,neutral
хара душнить если есть сомнение ради бог,negative
роман нет за час тонна смело уходить ранний работать на рыбак так и быть и в новый зеландия у стенка выгружаться и на север и в африка,neutral
василий никогда не выгружать с транспортрами когда на рыбак работать всегда этот подвахта в трюм я вы ли тогда ещ моторист быть поэтому никуда не деться а потом перешлый на торговый флот и вздохнуть с облегчение,positive
вячеслав так достать рыбак с выгрузка что год назад подняться на мостик и до сей пора не спускаться,positive
василий я с вы абсолютно согласный но хондроза шея и спина заработать в этот трюм и рыбцех но правда деньга отличный платить,positive
роман у мы быть так мы за час в кинуть тонна капитан быть в восторг,positive
перегруз обмен деньга на алкоголь,neutral
заработать на квартира двухкомнатный в мурманск на перегруз на тре за один год в девяностый потом продолжить добавить и заработать на квартира в санктпетербург тоже в девяностыхдвухтысячный интересно как сейчас можно ли за год заработать на квартира,neutral
stem на первоначальный взнос можно заработать,neutral
брать тонна за час впятером всё вручную без тележка разный по угол в тот число,neutral
я туда ходить чтобы размяться в х на промысл в юва антарктида радиослужба тогда задействовать только на перегрузка гофротар и сдача рыбопродукция и у мы в морозилка работать ття она тогда быть год шварцнегер по сравнение с она быть мальчик она мочь взять пак кг один рука да быть время спасибо братец что напомнить,neutral
владимир очень не удобный тара и как правило всегда перевес большой,positive
в азовский море ещ нужно постараться чтоб полностью параход утопить,neutral
он всплывать,neutral
вода похоже тёплый вот и не суетиться,negative
тот кто за штурвал,neutral
александр сразу видно й пом,neutral
только идиот сейчас сбрасывать шлюпка я это никогда не делать с г когда начать работать капитан на суд с такой шлюпка,negative
мифодия значит грамотный капитан,positive
да ничего там страшный и необычный не увидеть,neutral
я вот помнить както прыгать и носовой люк оставить открытый по запарка вот там лицо у первый ряд быть даааа,neutral
при я всё отказываться в они нырять после несколько смертельный случай с сломать шея,negative
не тот профессия человек выбрать,neutral
evge именно тот ранний всё такой быть это сей час всё на кнопка без шпиль хрен пришватоваться,neutral
роман именно другой покрасоваться можно и в зал перед девочка а не перед свой филлипка или идти работать на круизный лайнер чтобы далёкий красоваться я считать что этот человек делать нечего на судно как только красоваться я тоже заниматься на судно когда есть время но хернть такой я не страдать мы всё ехать зарабатывать деньга работать,negative
evge контракт не вечный на берег можно покрасоваться особенно лето на пляж а не пивная волосатый оренбургский кранц,neutral
видимо ценный специалист,positive
скорый когда на химия,neutral
игорь но кто не похуй,neutral
сергей не балкер,neutral
роман на химия челпереть чем тут балкер,neutral
mikhail роман живт в свый прекрасный мир,positive
хуй у вы с юмор беда,negative
от пропускать день нога о день пресса какойтый перекос на плечо,neutral
константин пляжникнуть,neutral
на рыба этот супермен через три вахта сдохнуть,neutral
сергей а в забой и вообще за два а по рытьё окоп тоже вряд ли в норматив вложиться и ч далёкий,neutral
семён ни вы это,neutral
ни то нажать,neutral
быть бы на краболов или на рыбак там ни до спорт,neutral
есть сила на тренировка значит плохо работать и много спать,neutral
где кофемашин,neutral
тогда протащить он под киль от бак до корма чтобы о ракушечник распороться тоже по традиция только пиратский правда,negative
краска jotun хороший краска дорогой,positive
сергей главное не ниппон,neutral
сергей тут весьма спорный вопрос как то привезти мы этот jotun что весь палуба что машина плеваться на этот краска,negative
ютоновкий краска хороший,positive
хороший красить якорь краска jotun чем осень пожелтеть трава перед приезд начальство на плац,positive
а то что в нева накапать это норма,neutral
ва быть бы судно гражданский уже в всё щель иметь бы компания и экипаж,neutral
боцман под якорь шкрябаять борт ленточный стопор матрос отдата быстренько якорь касаться дно освободиться каюта один,neutral
тут большой восторг вызывать краска йотуновский,positive
редкий сочетаниекрасивый слог подчерк и лютый грамматический ошибка,negative
этот судно год,neutral
болт вместо ручка,neutral
последствие ураган и подъём вода в катрина видеть,negative
съмка новый серия форсаж,neutral
море высохнуть,neutral
идея для рентв,neutral
кэп настолько увлчься гонка и не учл что с горка когда идть то трудный тормозить и вмазаться в оппонент на поворот сразу же вс понятно,negative
чмокичмок как сказать бы нынешний молодёжь,neutral
александр жопа штол,neutral
так понятный,positive
александр надо же и ходить жопа вперд,neutral
александр это у он нос такой,neutral
дяденька пить пиво срак,neutral
маслопуп рыбак и прочий нечисть не пускать на мостик белый пароход,negative
иванм быть молиться за ты чтобы ты размотать по весь дорогиа хоронить в закрытый гроб,negative
дмитрий доброта главное оружие осуждение,neutral
дмитрий он наверное механика избить и изнасиловать вот он и злиться теперь альтернативный одарённый что с карандашедроитель взять,negative
белый кость епт,neutral
прямо как в сказка иван дурак,neutral
так надо быть сразу на судовод идти теперь уже поздно тянуть лямка,neutral
быстро заканчивать контракт маслопуп быстро собирать необходимый документ быстро подавать они на судовредитель быстро учиться там год а в это время быстро делать док на рогачёс и пока учиться на судовредитель чипаесть быстро палуба такой образ что бы контракт быть рогачёс до получение диплом судовредитель,neutral
слабак сразу видно не курящий,negative
идти на гинеколог,neutral
быстро не получитсяный чуть быстрый быть через средний мореходка либо учиться на судовод либо если в механик остаться работать на суд где использовать только дизельный топливо и на относительно молодой суд до ти год и не на китаец,neutral
спасибо но это шоколад хватить большой не хо,positive
вахта в ход,neutral
дядя вроде взрослый дядя а вот этот нога там где должный быть рука зачем элита флот дом колхозник,positive
свинья за стол и нога на стол у мы так ранний говорить,neutral
александр на приборный панель тоже не дело,neutral
александр вот такой ещё чот базарить на судомех а поведение как у вербовать по объявление мобров,negative
что за тема нога закидывать на приборка прикинуть я повар сделать селфи в крокс на разделочный доска,neutral
хороший понт дорогой золото и тут подниматься мастер,positive
ништякс так делать,neutral
там быть написать впереди бак сзади корм,neutral
давать чтонибыть смешной это уже быть сто раз,positive
вообще то совсем на оборот левыйкрасный длина волна красный цвет самый короткий и красный запоминаться лёгкий так устроенный человек ps проветрить,neutral
мы учитель в мореходка говорить женский полова орган пз правый зелный,positive
не повар а кондей,neutral
не кондей а сплитсистема,neutral
не мостик а чердак,neutral
андрей любезный вы мастер этот информация донеситея лететь с мостик быть с ускорение,positive
андрей чердак скорый весь у вы и он течта,neutral
хозяин у вы чердак у они пердак,neutral
василий ну только если вы сам капитан или иметь непосредственный контакт с мостик а для машинер вы чердак как и для механик мко подвал,positive
не машина а бч,neutral
никита не бч а engine room,neutral
ergey боевой часть бч это понятие существующий в основа корабельный организация наряду с служба который представлять себя основный организационный подразделение экипаж корабль советский и российский военноморский флот в ведение который сосредоточить боевой и технический средство по определённый вид вооружение или оборудование предназначить для выполнение определённый задача в бой или повседневный жизнь на крупный корабль мочь быть до боевой часть который в свой очередь подразделяться на дивизион группа батарея команда и тд например бч штурманский бч ракетный или ракетноартиллерийский или артиллерийский бч минноторпедный бч связь бч электромеханический механический электромеханик механика моторист бч авиационный бч радиотехнический управление,neutral
никита не надо умничать это знать любой кто закончить мореходный училище а вы хоть знать как называться тип судный на фото,negative
никита очень порадовать бч,neutral
ergey я не сумничать а так сказать поддержать юмор а engine room любой студент знать так что так,negative
никита а бэласт тритмэнт система тоже любой студент знать или экдис дженерик курс,neutral
ergey вы прочитать пост в группа для начало с сам верх к что он быть а потом умничать я выразить как обозначаться мо er на военный флот что вы тут пытаться выразить я непонятно или както задеть у вы есть желание,negative
никита там балкер на фото а не какой нибыть скркстати странно что мы одинаково кликать моряк обычно побывать в страна сотня порт а не прятаться в база,neutral
ergey я видеть что это балкер дальшеть что вы хотеть увидеть,neutral
никита ни как не понять почему вы так за вмф вы же элита моряк загранщик весь мир повидать,positive
не дверь а броняшка,neutral
не рапорт а рапоорт,neutral
не дырка а клюз,neutral
не крюк а шкентель,neutral
жек шкентель это верёвка трос,neutral
не пароход а теплоход,neutral
алексей на дв на рыбак всё суд называть пароход,neutral
анатолий в судоремонт гражданский суд пароход это общепринятый выражение,neutral
не компас а компас,neutral
не компас а компаас,neutral
не турчанка а турачка,neutral
не забор а фальшборт,neutral
не поручень а леер,neutral
жек поручень это и есть поручень а не перила леер это ограждение,neutral
не дракон а боцман,neutral
не верно выражение корабль есть это по факт военный судно так называть пароход тоже не верно судно пароход сейчас практически вывести из эксплуатация,neutral
никита судно в госпиталь быть подавать так старпом мой говорить ещ давный давно поанглийски слово ship означать корабль что военный что гражданский назначение в разный страна по разный,neutral
никита насчёт пароход точно сказать не мочь а паровой кран точно один ещ в эксплуатация,neutral
никита тем не менее пароходство существовать несмотря на отсутствие пара для ход,neutral
александр не в госпиталь а в больница при чем для душевно больной тип ваш старпом для госпиталь надо быть военный как минимум как и корабль судно военный назначение vessel судно ship корабль это греческий слово вообще,negative
роман разница никакой где лежать с судный хоть в госпиталь хоть в больница учить хороший матчасть старпом уже большой год в море теперь капитан служить в вмф здоровье и опыт дать бог каждый так что осторожный в оценка повториться ship так называть и военный корабль и гражданский в англоязычный разговорный практика в литература и в тот число по радиосвязь слово vessel на практика я слышать нечасто в основное фигурировать сокращение перед название mv motor vessel в морской документ но частый ship производный shipping судоходство есть ещ сокращение в торговый флот ss screw steam ship screw steamer,positive
александр служить в вмф далёкий можно быть не продолжать видеть знать этот товарищ,neutral
роман нормальный товарищ,positive
никита да ладный паровой турбина генератор мотор вал винт,neutral
никита и всетаки пароход,neutral
никита всегда в наш страна о гражданский суд говорить пароход а военный суд называть коробочка не стоить ломать традиция,neutral
не пост а попытка накрутить коммент,neutral
жек вспомниться про турачка турачка валерий канкава прозара,neutral
не стамбул а истамбул не кок а кук,neutral
не зад а корм,neutral
не столб пиллерс,neutral
не пошлый нахуй а так точно товарищ капитан,negative
не ст механика дед,neutral
капитан дальний хождение,neutral
не слухиа утка,neutral
не ураган а шторм не устойчивость а остойчивость,neutral
не порог а комингс,neutral
не кровать а шконка не колокол а рында,neutral
инна вообщеть судовой колокол рында звон судовой колокол в полдень,neutral
сергей звон рында это склянка отбивать склянка,neutral
не столовая а салон команда,neutral
старпом а не страпон,neutral
не нос а бак,neutral
не ульянов а ленин,neutral
не веник а голяк не столовая а каюткомпания не тормоз а стопор не верёвка а кончик не крюк а гак,neutral
не открутить а отдать не спускать а травить не натягивать а набивать,neutral
не дырка а технологический отверстие не шкурка а наждачный бумага не перед а бак не зад а корм не лестница а трап,neutral
тут такой вс пальцекрутой собраться,neutral
судно не лодка пизда не пилотка,neutral
не перила а фальшборт,neutral
не компас а компас,neutral
не пароход а теплоход хотя пароход нынче тоже есть с ядерный силовой установка,neutral
павел не раз не теплоход пароход,neutral
а почему тогда капитан дальний плавание а не хождение,neutral
не боцман а шкура,neutral
не швабра а машка не тряпка а ветошь не кладовка а зиповка,neutral
александр поручниэтый рейлинга,neutral
вс вы кухня и автомобильный крыша сюда не приплетать,neutral
не секс заниматья вдуть,neutral
ни ведро а кандейк,neutral
ни нос а бак,neutral
ни потолок не подволок,neutral
не жизнь а рай,positive
в третий раз закинуть он невод,neutral
огий какой большой мангал что же там за шашлык,neutral
хотя это наверно что бы камень не контачил с другой но всё равно на,neutral
до первый качка,neutral
кофе в гранула,neutral
бывало и такоет на дачеа ты звонить и говорятбилет на стойка в аэропорт вылет в утро,neutral
хотеть прыгнуть но триггера,neutral
хотеть попробовать бесплатно жать и отправлять сообщение преподаватель tmemvkdzlxntzi,neutral
сто процент,neutral
быть в картаген тол баранкилие но на видео вроде не похоже на этот порт,neutral
santa marta,neutral
это антикрысникнуть,neutral
сан с язык снять,neutral
никто не отменять русский язык,neutral
как же всё измениться в мой время скоро на контракт это быть не гейский паровозик и кофе а это быть бухло с телок эх уходить поколение,negative
innokentiy неа,neutral
innokentiy всё есть и горючий и девчёнка и море,neutral
серхиннио не видеть орфографический словарь да и девчонка тоже,neutral
mister man bw in the tool box за я амазонка на подход,neutral
серхиннио me tested no remarks,neutral
жестяк это криль ловить на рктс похожий,neutral
сергей первый старониколаевский бмрт за они поляк ппров не хватать,neutral
японский постройка качество металл хороший,positive
дальнозоркий,neutral
барри сильвертон,neutral
высоко сидеть далеко видеть,neutral
раться смотреть,neutral
серхиннио аган вахта и что самый интересноезайти по трап,neutral
раться чисто свойясвояк в курс что и как,neutral
серхиннио psc,neutral
это ж боцман,neutral
в экваториальный гвинея к мы такой же пассажир заселилсяузнать на второй день после отходать итог на канары сдать,neutral
от она там накрууутииит,neutral
повышать и отправлять в офис менеджер,neutral
тоже не жалеть,positive
ктоть явно пересмотреть фильм водный мир,neutral
один матрос называть мастер пдик я сначала он сказать что это слишком грубоа потом когда мастер стать на сторона турковы против экипаж и itf то понять что это самый то для он,positive
спорт зал заасфальтировать материал уже подъехать,neutral
кекс шоколадный,neutral
правильно быть забункероваться гравитя диск поменять и на прострел поставить с более частый промежуток,neutral
один время в ротер такой давать как то раз даже бункероваться обратно из за такой,neutral
типично для lsfo,neutral
заправиться асфальт,neutral
а это где так,neutral
владимир коринфский канал,neutral
да работа буксир и лоцман,neutral
александр именно современный капитан порой даже без подрулить не мочь пришватроваться но думать на пассажир отбор кто состав серьзный чем на грузовик,positive
дамир к хороший быстро привыкать,positive
дамир у грузовик тормоз хоть есть и ветер не сдувать,neutral
интересный действие лоцман в этот ситувино туда сюда в левый в право команда бессмысленный,neutral
александр там лоцман сам рулить,neutral
александр офигеть борт не ширкаета,neutral
александр там же широкий суд не водить,neutral
не знать я саня да судить по фото не широкий кораблик,neutral
александр метр ограничение по ширина,negative
знакомый местностькаримфски кваналгреция,neutral
я выгнать лоцман сам стать на руль,neutral
коринфпамятный,neutral
а грузовик ходить там,neutral
полгода епт,neutral
пилот самолёт поехать в круиз на лайнер спустить всё бабка и снова в полёт,negative
александр так и есть пилот хорошо зарабатывать,neutral
если быть точный то быть так wb просто добавить в это уравнение жена и валдберис,positive
необычный объект stad ship tunnel уже включить в норвежский национальный транспортный план главный цель строительство туннель сократить время курсирование судно уменьшить простой и повысить безопасность морской движение в суровый погодный условие основной параметр туннель быть объявить пара год тот назад общий протяжённость около км высота м ширина м разрешить осадка судно до метр расчётный пропускной способность около судно в сутки,negative
до первый землетрясение,negative
нормально у они там часто непогода если в море выходить а по фьердать можно гонять спокойно,negative
называть филин красавчик с ум не сходить,positive
в ожидание контракт и труд терпение отсутствовать,positive
где то в сша австралия и норвегиима понять,positive
но если выкинуть там за борт окурок всё тюрьма,negative
по европа через порт такой хя твориться,neutral
похоже на конго как в матади,neutral
а что не так,neutral
дорого просто грунт который вс,neutral
это закладчик какой то,neutral
у psc естественно,neutral
подписаться и не терять tmeseatesthelp лс telegram tmeseamantest телефон wa сайт seamantestru,neutral
или слабоумие,negative
вот это они заморочиться раз пересчитывать остойчивость вс пересогласовывать и переделывать документ хотя судить по осадка такой переделка быстро окупаться,neutral
ктонибыть знать чей класс на второй фотка у судный,neutral
просто с год судно набираться опыт становиться матрым и мочь гораздо большой чем сразу после постройка,neutral
посмотреть на мореходр ввести в поисковик zolos и вы выдать достаточно информация чтобы сделать вывод о этот компания там несколько ветка,neutral
секс бывать и с ведро,neutral
несколько есть такой,neutral
гдеть валяться,negative
тоже такой есть в год апрель bbc campana рейс мумбай вальпараисо,neutral
проходить раз но есть только,neutral
да это память,neutral
иметься такой,neutral
у я другой начало х серый но я он хранить даже не изз тот что я там быть у дочка машенька начать прорезаться зуб и на это диплом сохраниться отпечаток быть первый зуб попасться она под рука укусить за край вот он и висеть у я в кабинет уже как год,negative
сука юа у я нет дрейк прохадил менить тацммегелан сорить нет,negative
александр георгиевич гамбургер электромеханик и как ласково звать умка воспитать три медведь на ленин лена и арктика,neutral
на то и начальство оответственность,neutral
зато спросить есть с кто,neutral
а то в шафттунель на косметический,neutral
расширить пополнительный,neutral
и расходка незабыть,neutral
